Food,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Guava jelly (Amrood ki jelly),115.74,28.18,1.11,0.25,27.38,6.61,3.36,16.55,0.29,,
Orange marmalade (Santray ka murabba),104.17,25.94,0.66,0.13,25.09,1.97,2.31,17.59,0.63,,
Carrot murabba (Gajar ka murabba),175.24,45.6,0.32,0.16,44.83,1.39,19.53,15.86,0.28,,
Gooseberry marmalade (Amla murabba),123.16,32.34,0.14,0.03,28.61,0,216.89,16.4,0.38,,
Ginger candy (Adrak ki candy),195.71,50.38,0.69,0.27,47.99,1.67,5.4,10.43,0.68,,
Mango pickle (Aam ka achaar),192.12,8.11,1.6,17.89,1.79,3.68,3429.94,48.97,1.44,,
Mixed vegetable pickle (Sabziyoon ka achaar),211.2,7.48,1.9,19.68,2.77,2.76,2488.32,42.81,2.12,,
Sweet lemon pickle (Neembu ka meetha achaar),69.54,16.87,1.22,0.21,14.63,2.13,6415.9,42.57,1.02,,
Plum chutney (Aloo bukhara ki chutney),177.11,44.95,0.47,0.29,43.9,1.37,216.81,12.38,0.34,,
Raw mango chutney (Kachhe aam/Kairi ki chutney),193.13,49.94,0.51,0.16,45.22,2.17,480.68,25.92,0.48,,
Tomato sauce,34.33,7.23,0.81,0.27,5.69,1.79,174.79,13,0.31,,
Tomato puree,20.62,3.68,0.75,0.25,2.32,1.56,244.99,8.91,0.22,,
Garam masala,254.21,26.2,9.89,10.97,1.79,35.56,58.33,609.77,14.51,,
Chat masala,222.58,23.87,8.19,9.91,0.79,18.62,11873.64,519.5,13.27,,
Kashmiri masala,389.02,23.16,8.26,31.03,2.41,12.12,3106.14,303.49,14.72,,
Rasam powder (Rasam masala),267.96,25.19,12.04,11.8,1.91,35.71,38.78,562.15,14.72,,
Sambar powder (Sambar masala),297.46,23.38,12.5,15.58,1.87,34.56,27.66,439.95,12.63,,
Tartare sauce,610.93,2.96,1.44,66.12,2.18,0.42,256.95,21.06,0.56,,
Barbeque sauce,121.93,20.46,0.96,4.51,18.88,0.69,504.95,28.61,1.15,,
Bread sauce,111.04,8.69,3.46,7.05,4.63,0.56,88.84,110.72,0.31,,
Green chilli sauce,46.06,7.36,1.25,0.27,5.36,1.77,1037.04,9.89,0.64,,
Home made plain noodles,238.78,44.5,6.21,3.56,1.07,1.65,182.07,12.27,1.07,,
Dal moong,43.69,4.92,2.2,1.62,0.13,1.08,117.74,7.69,0.52,,
Cumin seeds baghar (Jeera baghar/tadka),736.81,5.22,3.34,78.77,0.49,6.01,177.58,177.77,5.09,,
Onion tomato baghar (Pyaaz tamatar ka tadka),137.52,6.17,1.26,11.98,3.51,2.12,31.33,20.45,0.63,,
Mustard seeds baghar (Mustard seed tadka),552.59,10.45,4.73,54.3,1.14,9.74,8.9,182.93,4.14,,
Hot cherry sauce,252.74,67.95,0.13,0.07,17.65,0,105.81,24.82,0.45,,
Apple jelly (Seb ki jelly),152.13,39.37,0.1,0.21,38.18,0.86,2.14,7.89,0.15,,
Marmalade (Murabba),143.76,37.64,0.23,0.04,37.29,0.43,2.16,9.84,0.34,,
Plum squash (Aloo bukhara squash),211.17,55.51,0.16,0.1,55.02,0.52,12.71,6.9,0.16,,
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),14.07,2.14,0.85,0.24,1,1.07,7559.38,20.05,0.55,,
Brinjal pickle (Baingan ka achaar),139.01,4.23,2.24,12.98,1.07,4.62,3507.59,37.28,2.16,,
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),60.88,6.55,1.26,3.24,4.31,2.2,1281.94,15.18,0.54,,
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),91.21,6.32,1.98,6.55,3.04,5.08,2067.33,54.31,2.32,,
Tomato chutney (Tamatar ki chutney),176.07,31.85,0.97,6.01,30.02,1.49,823.65,25.34,0.96,,
Tomato ketchup,33.07,6.48,0.91,0.3,4.68,1.9,177.97,15.33,0.36,,
Bengal 5 Spice Blend (Panch Phoran),289.79,20,18.26,22.16,1.4,18.4,51.43,523,13.37,,
Kachumber Salad,90.95,13.12,3.19,2.45,2.07,2.7,109.95,36.92,1,11.65,40.46
Cucumber Tomato Onion Salad,87.48,14.01,2.63,1.84,0.84,3.36,101.61,52.51,0.94,18.85,39.76
Carrot Cucumber Salad,78.23,12.16,2.78,1.72,1.67,2.78,119.75,41.81,0.95,12.83,24.98
Beetroot Carrot Salad,68.41,10.36,1.97,1.89,1.87,3.19,84.37,54.35,1.19,11.85,27.05
Sprouted Chana Salad,72.84,11.55,2.42,1.63,1.65,3.69,109.66,45.11,1.06,8.88,23.41
Mixed Sprouts Salad,84.91,12.78,2.78,2.43,1.5,3.47,83.91,34.51,0.99,9.78,29.58
Moong Peanut Salad,79.24,12.64,2.41,2.04,1.64,2.98,109.83,50.19,0.97,16.97,24.51
Black Chana Salad,55.32,8.72,2.27,1.63,1.43,2.79,105.1,44.79,0.96,10.82,34.24
Kala Chana Vegetable Salad,67.16,10.07,2.07,2.36,1.69,3.87,119.84,53.02,1.14,12.59,26.72
Rajma Salad,64.22,11.52,2.13,1.46,1.53,3,113.76,52.52,1.15,12.39,34.17
Lobia Salad,76.95,13.07,2.22,2,1.42,2.62,75.3,36.31,1.07,9.25,40.43
Corn Cucumber Salad,76.09,11.92,2.72,1.58,1.4,3.94,71.97,45.79,1.02,18.45,33.01
Sweet Corn Chaat Salad,76.06,11.16,2.36,2.02,0.78,3.19,115.89,37.22,1.05,8.5,35.12
Paneer Vegetable Salad,72.44,11.65,2.54,2.1,1.99,2.72,69.52,47.48,0.95,17.16,37.97
Grilled Paneer Salad,72.95,12.82,2.19,1.9,2.01,2.93,69.93,44.52,1.3,17.9,36.72
Palak Corn Salad,91.01,15.54,2.95,2.1,1.64,3.67,72.6,52.23,0.89,18.44,26.06
Methi Sprout Salad,63.21,11.43,1.9,1.46,1.93,3.42,84.26,52.99,1.28,13.21,24.02
Amla Carrot Salad,61.61,9.1,1.8,1.8,1.43,2.74,98.88,38.69,1.19,15.78,36.52
Amla Cucumber Salad,63.71,9.26,2.55,1.65,1.41,2.99,119.1,40.84,1.26,7.5,32.66
Guava Chaat Salad,77.51,11.23,2.32,2.04,1.55,3.95,110.94,45.32,1.18,7.41,23.29
Papaya Chaat Salad,91.89,14.84,2.58,2.31,1.92,3.43,89.78,43.01,0.98,15.02,39.22
Pomegranate Sprout Salad,68.06,11.01,2.26,2.23,0.89,3.74,99.6,37.37,1.2,10.92,24.02
Apple Carrot Salad,73.19,12.63,2.71,1.93,0.78,2.73,76.93,35.07,1.08,15.37,29.27
Fruit Chaat,72.77,11.31,2.71,2.21,1,2.62,80.97,47.89,0.98,7.79,28.85
Mixed Fruit Chaat,72.67,10.77,2.9,1.58,0.88,3.89,116.24,57.99,1.19,16.55,34.49
Raw Mango Salad,77.89,11.92,2.86,2.25,1.37,3.79,102.04,40.34,0.83,12.93,29.75
Kakdi Kachumber,63.39,10.47,2.18,1.66,1.68,3.11,118.74,56.43,1.01,11.14,32.24
Tomato Coriander Salad,94.53,14.34,3.22,2.32,1.14,3.47,78.43,50.95,1.22,8.79,33.9
Cabbage Carrot Salad,73.31,10.97,1.82,2.09,2.04,2.76,99.56,53.12,1.19,18.55,26.32
Cabbage Peanut Salad,70.36,11.01,2.75,1.75,1.52,3.37,95.72,52.66,1.19,13.11,33.59
Beetroot Peanut Salad,80.21,12.48,2.54,1.86,1.32,3.51,103.75,42.01,1.24,16.35,26.68
Lettuce Indian Chaat Salad,64.85,10.86,2.11,1.58,1.34,3.91,106.9,47.44,1.26,16.56,31.07
Radish Carrot Salad,86.6,13.24,2.63,2.36,1.9,2.73,74.08,48.31,1.13,7.35,30.54
Radish Cucumber Salad,85.86,12.77,2.82,2.2,1.99,2.99,73.47,58.43,1.23,10.61,38.57
Capsicum Corn Salad,67.84,11.87,2.31,1.85,1.96,2.69,80.5,37.29,1.18,9.58,40.12
Broccoli Indian Salad,65.07,11.05,2.2,1.66,1.83,3.43,113.37,35.17,1.19,18.33,37.21
Roasted Makhana Salad,86.32,14.34,2.27,1.85,1.43,2.74,101.52,54.82,0.84,16.02,25.05
Quinoa Vegetable Salad,70.09,11.77,2.75,1.95,1.58,2.64,115.24,51.31,0.85,8.3,24.85
Millet Vegetable Salad,99.4,14.13,3.33,2.55,0.95,3.38,83.77,48.06,1.13,14.99,40.75
Cucumber Raita,62.52,6.15,3.24,3.03,1.24,0.43,69.96,108.39,0.22,2.47,11.86
Carrot Raita,68.1,6.25,3.87,3.1,1.75,0.41,66.4,117.13,0.21,2.6,13.84
Beetroot Raita,79.08,7.06,4.54,3.83,2.13,0.5,79.32,127.07,0.25,3.04,12.63
Mint Cucumber Raita,77.37,7.76,3.63,4.16,1.21,0.51,94.14,85.86,0.18,1.87,9.85
Boondi Mint Raita,70.3,7.05,2.95,3.83,1.67,0.59,83.29,89.74,0.19,3.12,16.76
Low Fat Boondi Raita,79.62,7.35,4.57,4.3,2.15,0.49,65.66,114.27,0.17,1.53,15.42
Palak Raita,99.91,8.51,5.18,5.21,1.81,0.43,59.85,128.2,0.2,2.14,9.67
Lauki Raita,64.37,6.98,2.83,2.7,1.88,0.47,78.45,87.59,0.18,2.89,13.76
Kaddu Raita,73.61,7.85,4.5,2.91,1.97,0.48,94.25,111.7,0.23,2.9,12.64
Tomato Raita,82,8.37,5.06,3.75,1.96,0.51,74.18,138,0.22,1.56,11.25
Onion Raita,59.64,5.36,3.98,3.04,2.08,0.47,68.76,125.03,0.22,3.16,13.61
Mixed Vegetable Raita,87.84,7.56,4.43,3.89,2.41,0.62,61.38,126.81,0.2,2.31,13.89
Pineapple Raita,90.9,9.53,4.2,4.65,1.62,0.57,58.09,129.53,0.2,3.17,12.31
Apple Raita,88.15,8.12,5.08,3.3,2.44,0.52,93.27,84.74,0.19,1.3,9.32
Anar Raita,83.89,8.02,4.56,4.46,2.44,0.57,66.8,120.12,0.24,1.21,12.72
Aloo Raita,87.14,6.48,3.98,4.52,1.43,0.55,71.91,134.13,0.18,2.38,11.73
Bhindi Raita,67.66,7.22,3.13,2.56,2.29,0.48,101.19,100.43,0.19,1.47,13.23
Mooli Raita,85.11,8.9,4.77,3.97,1.89,0.61,72.69,86.56,0.17,1.24,12.21
Methi Raita,82.28,7.08,3.95,4.57,1.97,0.57,96.61,96.72,0.19,3.02,12.85
Dill Raita,76.37,7.92,4.47,3.47,1.58,0.45,95.59,99.64,0.21,2.78,14.98
Coriander Raita,82.83,6.86,4.49,3.75,2.62,0.58,64.58,116.51,0.16,2.51,16.42
Mint Raita,76.77,6.96,3.21,4.37,1.07,0.42,59.2,110.03,0.21,1.83,8.83
Roasted Jeera Raita,63.13,5.83,2.76,3.32,1.54,0.45,75,82.6,0.16,2.93,8.41
Chana Raita,70.85,7.07,3.64,3.42,2.51,0.58,70.76,97.17,0.2,2.57,10.32
Masala Raita,66,7.47,3.01,3.24,1.27,0.56,62.47,138.09,0.15,1.58,8.66
Kheera Pudina Raita,59.89,6.25,2.99,3.12,2.53,0.53,94.65,119.96,0.17,2.75,15.59
Fruit Raita,76.75,7.22,3.46,3.37,1.65,0.62,70.58,130.85,0.22,1.63,11.88
Protein Raita,64.49,5.75,2.97,3.04,1.3,0.4,88.11,127.18,0.18,2.98,13.39
Oats Upma,124.91,20.93,5.64,3.27,2.09,4.11,136.79,71.29,1.61,2.18,33.2
Oats Vegetable Dalia,190.31,31.51,7.32,4.61,1.55,3.29,206.67,66.55,1.14,3.59,21.55
Broken Wheat Vegetable Dalia,199.17,28.81,7.27,5.32,1.66,3.91,196.23,64.19,1.94,3.06,26.51
Moong Dal Dalia,146.49,24.25,5.04,3.54,1.95,3.37,208.72,45.77,1.92,2.34,20.99
Bajra Dalia,205.59,34.78,6.19,5.08,1.94,4.52,190.84,63.69,1.73,4.15,27.47
Jowar Dalia,174.36,26.03,5.93,4.45,1.03,3.38,137.5,70.87,1.44,3.96,33.03
Ragi Dosa,175.87,24.77,6.12,4.54,1.56,3.94,185.51,47.2,1.44,2.98,19.79
Ragi Idli,171.11,25.13,5.02,4.87,0.88,3.64,230.15,49.66,1.29,2.36,26.64
Ragi Upma,159.99,25,5.01,4.45,1.63,4.93,146.95,48.89,1.37,4.09,32.84
Ragi Porridge,227.52,35.95,8.32,6.42,0.94,3.33,194.71,44.18,1.82,3.65,26.99
Jowar Idli,144.13,22.07,4.67,4.67,1.74,4.25,175.1,53.5,1.75,4.12,21.12
Bajra Chilla,174.28,28.18,8.2,4.24,1.89,3.68,179.67,54.86,1.33,3.93,32.4
Jowar Chilla,200.71,29.61,7.06,4.53,0.97,3.64,230.9,64.77,1.55,3.27,26.77
Ragi Chilla,175.35,27.1,5.35,3.75,1.4,4.91,152.67,58.02,1.3,2.56,18.03
Oats Chilla,162.45,26.28,4.89,4.1,1.29,4.04,155.22,71.16,1.8,4.02,25.7
Besan Vegetable Chilla,157.41,26.7,5,3.06,1.82,3.82,216.09,65.26,1.3,4.57,25.16
Moong Dal Vegetable Chilla,156.64,24.41,7.64,4.26,1.37,3.31,151.45,60.38,1.45,4.57,23.09
Mixed Dal Chilla,186.92,29.25,7.04,5.18,2.03,4.05,154.14,61.76,1.82,1.92,25.37
Masoor Dal Chilla,230.98,33.64,8.32,5.3,1.16,4.39,174.56,63.59,1.46,3.49,30.1
Urad Dal Chilla,188.86,30.7,5.95,4.9,1.3,3.82,148.59,44.02,1.68,3.77,29.1
Quinoa Chilla,144.45,21.18,4.44,4.24,1.08,4.75,148.97,49.57,1.24,2.65,29.31
Amaranth Chilla,187.71,28.67,7.18,5.77,1.57,4.92,202.55,50.94,1.93,3,29.49
Barnyard Millet Chilla,153.4,21.71,5.73,3.94,2.01,4,169.8,57.72,1.53,3.7,23.35
Foxtail Millet Upma,187.37,27.7,6.41,4.81,1.76,4.96,217.36,55.79,1.5,2.52,28.78
Little Millet Upma,161.17,23.28,5.82,4,1.85,3.59,153.11,41.48,1.4,4.19,32.19
Kodo Millet Upma,144.98,25.5,4.52,3.71,1.01,5,180.66,59.99,1.89,4.74,18.72
Barnyard Millet Upma,172.62,25.61,4.83,4.68,0.9,4.39,154.05,54.06,1.58,3.3,29.51
Millet Poha,222.5,33.09,7.69,4.85,1.73,3.37,169.38,55.2,1.48,1.95,29.26
Brown Rice Poha,190.1,27.99,6.51,4.98,1.18,3.95,221.55,56.11,1.86,2.23,32.88
Vegetable Oats Poha,129.77,20.72,5.26,3.02,0.75,3.3,218.66,42.3,1.66,4.27,20.44
Vegetable Dhokla,162.01,26.21,5.95,4.02,0.88,4.67,214.68,49.04,1.75,3.31,30.63
Moong Dal Dhokla,148.88,25.84,5.4,3.83,0.91,4.55,154.04,46.55,1.8,3,34.83
Khandvi,161.8,24.63,5.18,3.71,2.07,4.78,155.77,47.93,1.67,2.67,30.36
Handvo,191.11,28.38,7.05,5.15,0.82,3.25,187.51,49.12,1.47,4.07,31.97
Vegetable Appe,177.83,26.94,5.72,4.7,1.51,3.77,142.14,41.28,1.3,4.48,28.81
Ragi Appe,156.01,26.7,5.3,3.94,0.83,4.88,198.26,47.16,1.69,2.44,19.24
Moong Dal Appe,140.48,23.7,4.78,3.31,1.18,4.75,140.97,52.06,1.34,3.63,21.09
Idli with Vegetable Sambar,190.39,35.28,5.96,4.19,1.59,3.41,227.06,64.07,1.8,3.38,34.94
Vegetable Adai,140.32,21.92,4.74,4.61,1.84,4.24,240.69,56.33,1.53,4.71,24.16
Mixed Dal Adai,173.18,26.89,5.06,3.98,0.89,3.55,198.65,52.1,1.46,3.09,28.58
Masoor Dal,158.49,25.16,7.95,3,1.01,5.01,206.15,58.02,2.04,4.73,38.6
Whole Masoor Dal,109.45,14.63,6.56,2.26,1.01,4.48,162.8,66.26,2.77,5.99,46.73
Moong Dal Tadka,111.9,18.09,5.7,2.85,0.5,5.3,208.49,58.27,1.68,6.72,51.86
Sabut Moong Dal,125.54,18.97,5.8,3.23,1.29,4.74,196.03,49.43,1.84,6.87,41.9
Yellow Moong Dal,162.33,22.17,8.5,3.38,1.03,4.42,175.44,44.31,2.63,5.41,43.8
Green Moong Dal,161.79,23.4,8.2,3.12,0.61,4.94,225.47,49.85,2.02,7.37,28.67
Urad Dal,131.12,19.13,7.71,2.37,0.84,5.5,139.33,55.22,2.28,4.07,31.91
Whole Urad Dal,122.09,16.15,5.35,3.05,1.23,4.91,143.72,60.96,2.7,6.17,40.01
Chana Dal,127.52,16.09,7.05,3.43,0.54,6.16,167.59,68.57,1.7,7.68,51.45
Toor Dal,103.71,14.26,6.88,2,1.32,5.2,177.9,54.71,1.73,7.84,36.7
Arhar Dal,116.85,15.86,7.41,1.99,1.14,5.95,240.4,66.73,2.79,3.63,50.28
Panchratna Dal,143.5,19.77,8.35,3.56,0.93,5.59,176.72,52.19,2.12,3.45,30.17
Dal Palak,142.81,20.87,9.17,3.3,0.64,4.08,240.38,47.87,2.27,7.68,55.36
Dal Lauki,106.7,14.95,5.59,1.99,1.01,4.44,193.02,60.19,1.89,7,45.3
Dal Methi,163.55,24.76,7.65,2.56,0.89,4.51,175.86,64.57,2.3,3.91,36.98
Dal Tomato,147.78,21.35,7.37,2.59,0.65,5.62,155.29,44.5,2.25,5.6,42.23
Dal Tadka,140.42,21.51,6.93,2.73,0.56,4.95,159.62,60.54,1.71,7.91,41.13
Gujarati Dal,147.22,21.89,6.85,3.77,1.2,5.46,203.9,67.15,2.41,4.74,46.55
Sindhi Dal,153.63,23.25,7.23,2.9,0.96,5.83,184.65,47.77,2.55,3.66,33.56
Rajasthani Panchmel Dal,136.41,21.6,8.59,2.63,1.36,4.25,156.35,50.06,2.29,7.41,49.3
Bengali Musuri Dal,126.99,18.68,7.29,3.02,0.75,4.33,148.75,57.89,2.5,3.35,41.47
Andhra Pappu,150.56,22.81,8.84,3.05,0.72,5.85,154.05,55.39,2.12,4.2,49.05
Palak Dal,107.59,16.63,5.72,2.55,0.83,4.68,217.42,69.38,2.25,6.21,52.28
Methi Dal,158.21,23.57,9.72,4.04,0.91,5.78,136.71,55.69,2.25,5.04,43.91
Lauki Chana Dal,143.95,21.54,6.21,2.49,1.26,5.78,229.27,68.17,2.03,5.01,35.51
Chana Dal with Lauki,138.43,22.58,6.99,3.02,0.65,4.67,141.26,69.97,2.14,7.17,47.08
Moong Dal with Spinach,112.43,15.31,7.05,2.21,0.63,6.05,222.96,48.37,1.98,7.82,35.41
Moong Dal with Tomato,133.44,18.31,6.31,3.13,0.84,5.74,158.01,41.38,2.34,7.97,29.08
Masoor Dal with Spinach,112.74,17.18,7.1,2,1.17,4.89,155.39,47.16,2.15,5.4,52.13
Masoor Dal Khichdi,140.72,21.37,8.89,2.85,1.33,4.91,213.82,64.08,1.77,5.34,33.62
Moong Dal Khichdi,111.55,16.73,5.8,2.86,1.22,6.04,164.61,48.96,1.81,7.72,39.26
Vegetable Moong Khichdi,123.46,18.99,6.16,1.95,1.08,4.36,157.78,69,2.68,7.24,34.37
Millet Moong Khichdi,120.39,17.7,5.5,2.49,0.62,5.71,236.36,63.28,2.18,7.38,42.77
Bajra Moong Khichdi,150.93,22.97,8.53,2.76,0.71,4.27,189.57,58.87,2.13,6.93,53.57
Quinoa Moong Khichdi,134.47,18.59,6.89,2.59,1.22,4.42,212.96,69.02,2.84,4.76,45.87
Brown Rice Moong Khichdi,141.39,21.78,5.99,2.68,0.76,5.97,176.34,70.89,2.72,4.51,49.57
Oats Khichdi,135.01,18.59,7.1,3.09,0.7,4.06,195.86,56.24,1.72,4.74,52.22
Mixed Dal Khichdi,111.12,15.31,6.87,1.81,0.73,5.69,215.58,68.04,1.91,5.66,49.82
Dal Makhani Light,117.76,15.95,5.31,3.14,1.07,5.6,192.41,55.65,2.19,6.2,33.64
Low Oil Dal Makhani,167.53,24.05,7.72,3.37,1.38,4.32,234.56,51.3,1.85,4.06,30.52
Chana Masala,104.82,14.33,7.25,1.91,1.24,4.3,218.64,60.34,2.72,6.19,42.62
Kala Chana Curry,132.43,20.4,7.27,3,1.22,4.38,151.58,48.7,2.67,4.65,47.21
Lobia Masala,146.77,19.01,8.91,2.9,1.12,4.49,166.86,58.46,2,5.77,45.41
Rajma Masala,128.27,20.73,6.42,3.23,1.11,5.52,183.26,53.62,1.75,4.11,40.35
Green Peas Masala,140.6,19.29,8.76,3.16,0.93,5.71,201.93,69.32,2.25,5.64,44.86
Matki Usal,130.98,18.22,7.82,3.05,0.94,6.07,238.92,54.88,1.87,4.08,30.67
Moong Usal,103.62,15.27,6.39,2.56,1.01,4.07,236.64,46.31,2.41,4.63,45.96
Misal Usal,141.96,20,6.21,3.29,1.18,5.13,242.87,48.02,2,4.25,35.36
Sprouted Matki Curry,162.88,22.71,8.72,2.95,1.27,5.44,157.02,57.24,2.66,4.52,40.31
Sprouted Moong Curry,178.88,26,9.74,3.84,0.79,4.61,195.56,56.54,2.42,5.04,48.98
Palak Corn,79.8,8.99,2.88,4,1.35,3.78,192.9,58.01,1.14,16.49,28.84
Palak Chana,94.95,9.97,3.16,4.16,0.78,3.4,134.92,59.6,1.49,18.77,26.26
Palak Moong,99.86,12.58,3.25,4.72,1.49,3.86,139.47,61.21,1.72,21.59,47.85
Methi Aloo Light,91.96,9.47,3.53,4.69,0.81,2.88,188.3,41.81,1.49,22.39,39.45
Methi Mutter,101.68,12.19,4.26,4.47,1.56,3.24,124.08,48.01,1.5,18.25,28.83
Methi Mushroom,136.5,12.78,3.56,6.88,2,2.59,121.16,64.33,1.93,27.11,48.28
Lauki Tomato,102.53,8.99,4.12,5.44,1.31,3.45,134.74,63.63,1.19,23.94,45.3
Lauki Chana,103.11,10.02,3.28,6.17,1.25,3.62,141.08,55.28,1.9,24.01,29.77
Lauki Moong,103.32,11.05,4.59,4.99,2,3.45,186.52,71.12,1.25,12.39,41.02
Lauki Kofta Light,99.73,8.27,3.32,5.35,1.2,2.97,169.93,66.74,1.49,27.95,40.44
Tori Tomato,76.65,9.64,3.04,3.55,1.68,2.78,147.51,45.48,1.49,18.26,37.29
Tori Chana Dal,77.98,7.96,3.42,4.34,0.9,3.5,143.84,55.06,1.45,25.39,33.76
Tinda Masala,93.77,10.5,2.96,5.15,1.32,3.06,195.15,69.76,1.14,21.62,43.21
Tinda Tomato,103.92,10.08,3.44,5.64,0.81,3.97,172.51,45.69,1.4,28.58,24.9
Parwal Tomato,95.07,10.94,3.27,4.91,1.39,3.97,124.97,69.85,1.34,19.87,26.72
Parwal Aloo Light,119.21,11.08,3.47,6.06,1.43,2.93,163.03,49.7,1.83,17.82,37.5
Karela Pyaz,102.65,10.79,3.9,4.56,1.02,3.12,137.41,61.66,1.34,17.19,33.05
Karela Tomato,123.13,10.81,3.66,6.42,1.04,3.38,152.89,42.43,1.53,13.03,30.34
Karela Stuffed Light,121.21,9.82,4.35,6.73,1.71,3.43,215.31,51.58,1.26,20.15,37.56
Bhindi Tomato,89.47,9.18,2.56,5.39,0.8,2.94,143.06,49.54,1.15,15.83,29.23
Bhindi Pyaz Light,85.4,9.31,3.2,4.4,0.78,2.69,192.64,71.22,1.89,19.88,37.53
Bhindi Masala Low Oil,109.31,10.17,3.65,5.51,1.34,3.85,197.41,50.58,1.89,12.5,48.86
Baingan Bharta,95.68,9.77,4.16,4.27,1.83,3.67,202.26,44.21,1.35,18.26,25.54
Baingan Tomato,99.03,9.21,3.36,4.77,1.11,3.83,160.89,51.17,1.54,18.32,30.81
Baingan Palak,92.94,9.05,3.37,5.22,1.86,3.16,213.1,64.99,1.92,25.89,27.98
Baingan Chana,94.54,9.19,4.04,5.31,2,2.94,174.13,63.06,1.17,21.56,44.49
Bharwa Baingan Light,91.41,8.49,2.72,4.57,2.02,2.73,137.85,51.03,1.61,23.73,35.35
Gobi Matar,90.17,7.75,3.69,4.3,1.4,3.82,128.42,44.7,1.89,27.85,32.21
Gobi Palak,89.9,9.41,3.27,4.03,1.09,3.85,126.45,42.42,1.66,16.9,40.56
Gobi Tomato,95.77,9.71,3.31,5.08,1.18,2.76,171.57,50.23,1.18,17.44,30.74
Gobi Beans Sabzi,94.36,8.79,3.11,5.14,1.22,3.12,194.1,52.71,1.61,28.19,37.29
Gobi Carrot Sabzi,114.32,12.68,3.44,5.62,2.08,3.57,128.91,58.25,1.23,24.33,36.94
Cabbage Peas,123.83,12.16,4.06,5.78,1.89,3.65,123.5,58.07,1.3,26.29,40.39
Cabbage Chana Dal,103.14,8.88,3.25,5.4,0.88,2.85,193.36,47.29,1.37,28.3,41.85
Cabbage Moong,82.73,9.91,3.44,4.05,0.81,3.61,190.03,69.95,1.75,19.29,36.41
Carrot Peas,101.7,9.34,3.51,4.76,1.96,3.42,127.56,52.89,1.27,17.14,31.54
Carrot Beans,97.49,9.57,3.13,5.36,0.84,2.61,127.71,49.2,1.94,14.56,29.35
Beans Aloo Light,99.3,10.37,3.78,4.87,0.94,3.75,186.22,67.51,1.43,21.02,26.19
Beans Coconut Light,84.63,7.7,3.4,3.95,0.84,3.6,200.21,43.94,1.14,11.81,45.41
French Beans Masala,103.89,9.22,3.12,5.22,1.43,3.26,134.41,66.38,1.17,19.4,46.22
Capsicum Peas,104.79,11.32,3.45,5.15,1.45,3.09,151.38,50.49,1.33,17.37,28.17
Capsicum Paneer Light,111.72,11.87,3.51,6.32,1.07,3.78,120.83,42.68,1.75,28.57,25.6
Mixed Vegetable Curry Light,112.39,9.62,4.04,6.23,0.76,3.08,215.16,49.04,1.28,13.03,38.1
Vegetable Korma Light,119.14,11.38,4.05,6.26,1.08,3.72,148.55,51.23,1.89,23.07,48.38
Kaddu Sabzi,82.59,9.89,3.44,3.93,1.46,2.9,209.42,45,1.29,24.58,26.87
Kaddu Chana Dal,127.05,12.41,3.44,6.37,1.77,3.47,188.96,58.98,1.39,23.35,47.95
Kaddu Palak,105.86,10.95,3.6,5.88,0.97,4,171.79,55.81,1.6,11.68,34.4
Chana Lauki Sabzi,112.56,10.68,3.9,5.78,1.82,3.48,171.6,59.59,1.21,15.72,37.42
Turai Moong Dal Sabzi,122.64,12.14,3.44,6.02,1.74,2.88,176.97,59.14,1.4,18.83,45.67
Drumstick Vegetable Curry,95,11.01,3.68,4.24,1.01,2.77,210.64,56.53,1.32,12.7,32.79
Drumstick Sambar Vegetable,128.58,10.9,4.4,6.51,1.57,2.72,158.61,42.79,1.89,26.71,37.29
Mushroom Palak,107.48,9.41,4.08,5.15,1.67,2.61,199.6,49.64,1.17,27.73,47.46
Mushroom Masala Light,96.73,10.66,3.56,4.91,0.88,2.73,200.32,45.66,1.31,20.68,29.77
Soybean Vegetable Curry,95.95,8.99,2.96,4.69,0.95,3.87,206.64,66.33,1.65,21.96,40.16
Soya Chunk Vegetable Curry,97.5,9.25,4.49,5.64,1.26,3.69,168.93,56.59,1.49,16.91,30.62
Jackfruit Curry Light,95.34,9.82,4.25,4.27,1.15,3.02,167.93,60.72,1.91,15.93,41.47
Raw Banana Sabzi,73.76,7.7,2.89,3.17,1.67,3.45,169.59,59.52,1.45,11.54,26.95
Raw Papaya Sabzi,111.76,12.28,3.09,5.5,1.87,3.64,179.51,62.33,1.83,13,47.19
Kathal Palak,75.98,9.14,2.47,3.52,1.35,2.57,135.94,54.9,1.46,24.62,46.38
Kachcha Aam Sabzi,117.61,9.48,3.48,6.44,1.3,2.69,211.26,53.69,1.68,19.02,42.96
Brown Rice,140.86,22.3,4.38,2.88,0.65,4.4,186.23,35.74,2.12,1.74,29.29
Red Rice,170.27,29.76,5.07,4.3,1.09,4.78,196.36,37.25,1.77,2.32,26.32
Hand Pounded Rice,152.65,25.73,3.96,3.71,0.85,4.8,151.07,35.19,1.56,2.85,23.49
